# Consulta la documentación en la wiki para aprender cómo editar este archivo.
#-------------------------------
[Move,MEGADRAIN]
Name = PRAS Megadrain
Credit = Anon
<User>
    MoveColor = 18,4,50FF3278
    MoveColor = 22,8,+00+00+00+00
<Target>
    MoveColor = 2,2,FFFFFFFF
    MoveColor = 4,4,+00+00+00+00
    MoveX = 6,2,8,EaseOut
    MoveTone = 6,10,-100-100-100+100
    MoveX = 8,3,-8,EaseBoth
    MoveX = 11,2,0,EaseBoth
    MoveTone = 25,10,+00+00+00+00
<SE>
    Play = 2,PRSFX- Mega Drain2
    Play = 18,PRSFX- Health Up
<AbsorbChunk0>
    Graphic = Energy1
    Focus = Target
    SetZ = 0,750
    SetZoomX = 0,50
    SetZoomY = 0,50
    SetVisible = 0,false
    SetColor = 0,00FF00C8
    SetX = 6,19
    SetY = 6,38
    SetVisible = 6,true
    MoveX = 8,8,-256,EaseIn
    MoveY = 8,8,128,EaseIn
    MoveOpacity = 14,2,0
    SetVisible = 16,false
<AbsorbChunk1>
    Graphic = Energy1
    Focus = Target
    SetZ = 0,750
    SetZoomX = 0,50
    SetZoomY = 0,50
    SetVisible = 0,false
    SetColor = 0,00FF00C8
    SetX = 6,7
    SetY = 6,-6
    SetVisible = 6,true
    MoveX = 8,8,-256,EaseIn
    MoveY = 8,8,128,EaseIn
    MoveOpacity = 14,2,0
    SetVisible = 16,false
<AbsorbChunk2>
    Graphic = Energy1
    Focus = Target
    SetZ = 0,750
    SetZoomX = 0,50
    SetZoomY = 0,50
    SetVisible = 0,false
    SetColor = 0,00FF00C8
    SetX = 7,-23
    SetY = 7,-17
    SetVisible = 7,true
    MoveX = 9,8,-256,EaseIn
    MoveY = 9,8,128,EaseIn
    MoveOpacity = 15,2,0
    SetVisible = 17,false
<AbsorbChunk3>
    Graphic = Energy1
    Focus = Target
    SetZ = 0,750
    SetZoomX = 0,50
    SetZoomY = 0,50
    SetVisible = 0,false
    SetColor = 0,00FF00C8
    SetX = 7,-40
    SetY = 7,3
    SetVisible = 7,true
    MoveX = 9,8,-256,EaseIn
    MoveY = 9,8,128,EaseIn
    MoveOpacity = 15,2,0
    SetVisible = 17,false
<AbsorbChunk4>
    Graphic = Energy1
    Focus = Target
    SetZ = 0,750
    SetZoomX = 0,50
    SetZoomY = 0,50
    SetVisible = 0,false
    SetColor = 0,00FF00C8
    SetX = 8,24
    SetY = 8,19
    SetVisible = 8,true
    MoveX = 10,8,-256,EaseIn
    MoveY = 10,8,128,EaseIn
    MoveOpacity = 16,2,0
    SetVisible = 18,false
<AbsorbChunk5>
    Graphic = Energy1
    Focus = Target
    SetZ = 0,750
    SetZoomX = 0,50
    SetZoomY = 0,50
    SetVisible = 0,false
    SetColor = 0,00FF00C8
    SetX = 8,37
    SetY = 8,-30
    SetVisible = 8,true
    MoveX = 10,8,-256,EaseIn
    MoveY = 10,8,128,EaseIn
    MoveOpacity = 16,2,0
    SetVisible = 18,false
<AbsorbChunk6>
    Graphic = Energy1
    Focus = Target
    SetZ = 0,750
    SetZoomX = 0,50
    SetZoomY = 0,50
    SetVisible = 0,false
    SetColor = 0,00FF00C8
    SetX = 9,2
    SetY = 9,30
    SetVisible = 9,true
    MoveX = 11,8,-256,EaseIn
    MoveY = 11,8,128,EaseIn
    MoveOpacity = 17,2,0
    SetVisible = 19,false
<AbsorbChunk7>
    Graphic = Energy1
    Focus = Target
    SetZ = 0,750
    SetZoomX = 0,50
    SetZoomY = 0,50
    SetVisible = 0,false
    SetColor = 0,00FF00C8
    SetX = 9,38
    SetY = 9,-35
    SetVisible = 9,true
    MoveX = 11,8,-256,EaseIn
    MoveY = 11,8,128,EaseIn
    MoveOpacity = 17,2,0
    SetVisible = 19,false
<AbsorbChunk8>
    Graphic = Energy1
    Focus = Target
    SetZ = 0,750
    SetZoomX = 0,50
    SetZoomY = 0,50
    SetVisible = 0,false
    SetColor = 0,00FF00C8
    SetX = 10,8
    SetY = 10,-19
    SetVisible = 10,true
    MoveX = 12,8,-256,EaseIn
    MoveY = 12,8,128,EaseIn
    MoveOpacity = 18,2,0
    SetVisible = 20,false
<AbsorbChunk9>
    Graphic = Energy1
    Focus = Target
    SetZ = 0,750
    SetZoomX = 0,50
    SetZoomY = 0,50
    SetVisible = 0,false
    SetColor = 0,00FF00C8
    SetX = 10,17
    SetY = 10,14
    SetVisible = 10,true
    MoveX = 12,8,-256,EaseIn
    MoveY = 12,8,128,EaseIn
    MoveOpacity = 18,2,0
    SetVisible = 20,false
<AbsorbChunk10>
    Graphic = Energy1
    Focus = Target
    SetZ = 0,750
    SetZoomX = 0,50
    SetZoomY = 0,50
    SetVisible = 0,false
    SetColor = 0,00FF00C8
    SetX = 11,-20
    SetY = 11,-19
    SetVisible = 11,true
    MoveX = 13,8,-256,EaseIn
    MoveY = 13,8,128,EaseIn
    MoveOpacity = 19,2,0
    SetVisible = 21,false
<AbsorbChunk11>
    Graphic = Energy1
    Focus = Target
    SetZ = 0,750
    SetZoomX = 0,50
    SetZoomY = 0,50
    SetVisible = 0,false
    SetColor = 0,00FF00C8
    SetX = 11,-10
    SetY = 11,-34
    SetVisible = 11,true
    MoveX = 13,8,-256,EaseIn
    MoveY = 13,8,128,EaseIn
    MoveOpacity = 19,2,0
    SetVisible = 21,false
<AbsorbChunk12>
    Graphic = Energy1
    Focus = Target
    SetZ = 0,750
    SetZoomX = 0,50
    SetZoomY = 0,50
    SetVisible = 0,false
    SetColor = 0,00FF00C8
    SetX = 12,-26
    SetY = 12,-24
    SetVisible = 12,true
    MoveX = 14,8,-256,EaseIn
    MoveY = 14,8,128,EaseIn
    MoveOpacity = 20,2,0
    SetVisible = 22,false
<AbsorbChunk13>
    Graphic = Energy1
    Focus = Target
    SetZ = 0,750
    SetZoomX = 0,50
    SetZoomY = 0,50
    SetVisible = 0,false
    SetColor = 0,00FF00C8
    SetX = 12,24
    SetY = 12,35
    SetVisible = 12,true
    MoveX = 14,8,-256,EaseIn
    MoveY = 14,8,128,EaseIn
    MoveOpacity = 20,2,0
    SetVisible = 22,false
<AbsorbChunk14>
    Graphic = Energy1
    Focus = Target
    SetZ = 0,750
    SetZoomX = 0,50
    SetZoomY = 0,50
    SetVisible = 0,false
    SetColor = 0,00FF00C8
    SetX = 13,-32
    SetY = 13,9
    SetVisible = 13,true
    MoveX = 15,8,-256,EaseIn
    MoveY = 15,8,128,EaseIn
    MoveOpacity = 21,2,0
    SetVisible = 23,false
<AbsorbChunk15>
    Graphic = Energy1
    Focus = Target
    SetZ = 0,750
    SetZoomX = 0,50
    SetZoomY = 0,50
    SetVisible = 0,false
    SetColor = 0,00FF00C8
    SetX = 13,-27
    SetY = 13,-3
    SetVisible = 13,true
    MoveX = 15,8,-256,EaseIn
    MoveY = 15,8,128,EaseIn
    MoveOpacity = 21,2,0
    SetVisible = 23,false
<AbsorbChunk16>
    Graphic = Energy1
    Focus = Target
    SetZ = 0,750
    SetZoomX = 0,50
    SetZoomY = 0,50
    SetVisible = 0,false
